Luis Arraez
Jacob Wilson
Nico Hoerner
Steven Kwan
Mookie Betts
Keibert Ruiz
Alejandro Kirk
Santiago Espinal
Geraldo Perdomo
Nolan Arenado
Kyle Tucker
José Ramírez
Gleyber Torres
Jung Hoo Lee
Sal Frelick
Nolan Schanuel
Brendan Donovan
Ernie Clement
Luis García Jr.
Josh Naylor
Jeremy Peña
Lourdes Gurriel Jr.
Jonathan India
Yandy Díaz
Maikel Garcia
Aaron Judge
Corbin Carroll
Shohei Ohtani
Pete Alonso
Cal Raleigh
Pete Crow-Armstrong
Seiya Suzuki
Bobby Witt Jr.
James Wood
Junior Caminero
Lawrence Butler
Jackson Chourio
Rafael Devers
Freddie Freeman
Kyle Schwarber
Eugenio Suárez
Taylor Ward
Alex Bregman
Spencer Torkelson
Jarren Duran
Riley Greene
Bo Bichette
Brent Rooker
Logan O'Hoppe
Trent Grisham
Ben Rice
Wilyer Abreu
Kerry Carpenter
Oneil Cruz
Isaac Paredes
Kyle Manzardo
Tyler Soderstrom
Gavin Sheets
Christian Yelich
Francisco Lindor
Michael Busch
Teoscar Hernández
Juan Soto
Will Smith
Vladimir Guerrero Jr.
Marcell Ozuna
J.P. Crawford
Carlos Santana
Bryce Harper
William Contreras
TJ Friedl
Matt Chapman
Max Muncy
George Springer
Michael Conforto
Ryan McMahon
Lars Nootbaar
Elly De La Cruz
Yordan Alvarez
Xander Bogaerts
Paul Goldschmidt
Ketel Marte
Jose Altuve
Addison Barger
Triston Casas
Luis Rengifo
Gabriel Arias
Kristian Campbell
Carlos Correa
Jake Meyers
Fernando Tatis Jr.
Bryan Reynolds
Alec Bohm
Ty France
Jackson Holliday
Julio Rodríguez
Trevor Larnach
Gunnar Henderson
Gavin Lux
Heliot Ramos
Wilmer Flores
J.T. Realmuto
Joey Bart
Hunter Goodman
Heston Kjerstad
Matt Olson
Salvador Perez
Tommy Pham
Christian Walker
Brooks Baldwin
Josh Bell
Willson Contreras
Adam Frazier
Iván Herrera
Ramón Urías
Austin Wells
Cody Bellinger
Byron Buxton
Nick Castellanos
Adolis García
Michael Harris II
Michael Massey
Dansby Swanson
Anthony Volpe
Willy Adames
Randy Arozarena
Caleb Durbin
CJ Abrams
Starling Marte
Blake Dunn
Tyrone Taylor
Harrison Bader
Jo Adell
Jonathan Aranda
Victor Caratini
Sean Murphy
Luke Raley
Kyle Isbel
Alex Call
Nathan Lukes
Chas McCormick
Joey Ortiz
Myles Straw
Jacob Young
Nick Allen
Jose Herrera
Christian Koss
Miles Mastrobuoni
Victor Scott II
Leody Taveras
Tyler Wade
Adael Amador
Cavan Biggio
Dairon Blanco
Vinny Capra
Oliver Dunn
Austin Riley
Trea Turner
Anthony Santander
Matt McLain
Luis Robert Jr.
Adley Rutschman
Marcus Semien
Max Kepler
Shea Langeliers
Brandon Nimmo
Brenton Doyle
Yainer Diaz
